sample_id,scenario,true_K,method,display_name,set_rmse,set_mae,k_hat,k_acc,k_abs_err,outlier_5deg
U2_clean_K2#0034,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2662525476562115,0.2643424886133543,2,1.0,0,0.0
U2_clean_K2#0035,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1559530515584035,0.1514797005659076,2,1.0,0,0.0
U2_clean_K2#0036,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1567759681453492,0.1259844795309517,2,1.0,0,0.0
U2_clean_K2#0037,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1053365540235989,0.0980935518628847,2,1.0,0,0.0
U2_clean_K2#0038,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.27318952267078,0.2081304809955497,2,1.0,0,0.0
U2_clean_K2#0039,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1809471165342824,0.1775447999270785,2,1.0,0,0.0
U2_clean_K2#0040,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0450604201380509,0.0341496440617596,2,1.0,0,0.0
U2_clean_K2#0041,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0578694875618013,0.043989522262068,2,1.0,0,0.0
U2_clean_K2#0042,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2875661789938388,0.2871592551846653,2,1.0,0,0.0
U2_clean_K2#0043,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0842653569963955,0.0688401004491856,2,1.0,0,0.0
U2_clean_K2#0044,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2153302869647598,0.2064288446781867,2,1.0,0,0.0
U2_clean_K2#0045,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1020808710211739,0.1018541963959727,2,1.0,0,0.0
U2_clean_K2#0046,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1771873502389289,0.1400235431179624,2,1.0,0,0.0
U2_clean_K2#0047,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.4007484801250451,0.3008405583094245,2,1.0,0,0.0
U2_clean_K2#0048,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1401972992674975,0.1289347016456714,2,1.0,0,0.0
U2_clean_K2#0049,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1781844918986007,0.1435383804607841,2,1.0,0,0.0
U2_clean_K2#0050,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.8799859374898384,0.7596716100657375,2,1.0,0,0.0
U2_clean_K2#0051,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2707562642079116,0.2689071176599285,2,1.0,0,0.0
U2_clean_K2#0052,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2618120070687891,0.2063743296376881,2,1.0,0,0.0
U2_clean_K2#0053,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2798776426276592,0.2779215223985876,2,1.0,0,0.0
U2_clean_K2#0054,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1441534494001053,0.1183615987400026,2,1.0,0,0.0
U2_clean_K2#0055,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.423181174126751,0.3028879843818366,2,1.0,0,0.0
U2_clean_K2#0056,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.101444237278038,0.0984219714127503,2,1.0,0,0.0
U2_clean_K2#0057,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1249020857784802,0.123097966192647,2,1.0,0,0.0
U2_clean_K2#0058,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2737896700511223,0.270344938742999,2,1.0,0,0.0
U2_clean_K2#0059,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.690677121300696,0.6283507383232063,2,1.0,0,0.0
U2_clean_K2#0060,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1886837875368132,0.1337965543750954,2,1.0,0,0.0
U2_clean_K2#0061,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.116067189666221,0.1100490352389484,2,1.0,0,0.0
U2_clean_K2#0062,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.3759294034765514,0.3752773209280775,2,1.0,0,0.0
U2_clean_K2#0063,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.4352828357771697,0.4302569653835846,2,1.0,0,0.0
U2_clean_K2#0064,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1650594416900342,0.1451432735644129,2,1.0,0,0.0
U2_clean_K2#0065,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.081643582645397,0.0729106467800644,2,1.0,0,0.0
U2_clean_K2#0066,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.6518299337306179,0.6392960038939961,2,1.0,0,0.0
U2_clean_K2#0067,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.3463170079233356,0.3460142029029214,2,1.0,0,0.0
U2_clean_K2#0068,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1616987688342623,0.1436959838087581,2,1.0,0,0.0
U2_clean_K2#0069,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0637289052213493,0.049119119012106,2,1.0,0,0.0
U2_clean_K2#0070,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.093877353072023,0.0771512170977599,2,1.0,0,0.0
U2_clean_K2#0071,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1476570370539033,0.12291521640725,2,1.0,0,0.0
U2_clean_K2#0072,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.6014746056335832,0.5719858137091016,2,1.0,0,0.0
U2_clean_K2#0073,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1373796309407458,0.1111492032641585,2,1.0,0,0.0
U2_clean_K2#0074,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1482680500326646,0.1482668146512047,2,1.0,0,0.0
U2_clean_K2#0075,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.4057126935760946,0.4050922792141112,2,1.0,0,0.0
U2_clean_K2#0076,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.09293368455512,0.0701323012965904,2,1.0,0,0.0
U2_clean_K2#0077,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.3925422904311809,0.3594168156454174,2,1.0,0,0.0
U2_clean_K2#0078,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1703180549007224,0.1506647564558996,2,1.0,0,0.0
U2_clean_K2#0079,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2812409995911788,0.2218968122417379,2,1.0,0,0.0
U2_clean_K2#0080,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.053141773027815,0.039411070160269,2,1.0,0,0.0
U2_clean_K2#0081,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0298728161834768,0.0245385898183769,2,1.0,0,0.0
U2_clean_K2#0082,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.119980330839443,0.1100271475309226,2,1.0,0,0.0
U2_clean_K2#0083,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2140608320256858,0.1961663290047592,2,1.0,0,0.0
U2_clean_K2#0084,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0693646955054259,0.0627294055964462,2,1.0,0,0.0
U2_clean_K2#0085,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1729615212457245,0.1326502937017517,2,1.0,0,0.0
U2_clean_K2#0086,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2523025769542163,0.250815516187429,2,1.0,0,0.0
U2_clean_K2#0087,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1523606650874195,0.1480170566921561,2,1.0,0,0.0
U2_clean_K2#0088,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1046772124910573,0.0802196578305766,2,1.0,0,0.0
